Waldort,WE-Typ,U,I_A,W_S,SW,STOE,VTYP,UELH,UENH,VB
05752,NG,0,0,0,0,0,0,0,0,0
05753,NG,0,0,0,0,0,0,0,0,0
058A1,WO,0,0,0,0,0,0,0,0,0
058A2,WO,0,0,0,0,0,0,0,0,0
058A3,WO,0,0,0,0,0,0,0,0,0
058A4,WO,0,0,0,0,72,0,0,0,0
058A5,WO,0,0,0,0,0,0,0,0,0
058A6,WO,0,0,0,0,0,0,0,0,0
058B1,WO,0,0,0,0,0,0,0,0,0
058B2,WO,0,0,0,0,0,0,0,0,0
058B3,WO,0,0,0,0,0,0,0,0,0
058C1,WO,0,0,0,0,0,0,0,0,0
058C2,WO,0,0,0,0,0,0,0,0,0
058C3,WO,0,0,0,0,0,0,0,0,0
058C4,WO,0,0,0,0,0,0,0,0,0
058D1,WO,0,0,0,0,0,0,0,0,0
058D2,WO,0,0,0,0,0,0,0,0,0
058D3,WO,0,0,0,0,0,0,0,0,0
058D4,WO,0,0,0,0,0,0,0,0,0
058D5,WO,0,0,0,0,0,0,0,0,0
058E1,WO,0,0,0,0,0,0,0,0,0
058E2,WO,0,0,0,0,0,0,0,0,0
058F1,WO,0,0,0,0,0,0,0,0,0
058F2,WO,0,0,0,0,0,0,0,0,0
058F3,WO,0,0,0,0,0,0,0,0,0
058F4,WO,0,0,0,0,0,0,0,0,0
058G1,WO,0,0,0,0,0,0,0,0,0
058G2,WO,0,0,0,0,0,0,0,0,0
058G3,WO,0,0,0,0,0,0,0,0,0
058H1,WO,0,0,0,0,72,0,0,0,0
058H2,WO,0,0,0,0,0,0,0,0,0
058H3,WO,0,0,0,0,0,0,0,0,0
058H4,WO,0,0,0,0,72,0,0,0,0
058H5,WO,0,0,0,0,0,0,0,0,0
058H6,WO,0,0,0,0,0,0,0,0,0
058I1,WO,0,0,0,0,0,0,0,0,0
058I2,WO,0,0,0,0,0,0,0,0,0
058J0,WO,0,0,0,0,0,0,0,0,0
05831,NG,0,0,0,0,0,0,0,0,0
05832,NG,0,0,0,0,0,0,0,0,0
05833,NG,0,0,0,0,0,0,0,0,0
059A1,WO,0,0,0,0,0,0,0,0,0
059A2,WO,0,0,0,0,0,0,0,0,0
059B1,WO,0,0,0,0,0,0,0,0,0
059B2,WO,0,0,0,0,0,0,0,0,0
059B3,WO,0,0,0,0,0,0,0,0,0
059B4,WO,0,0,0,0,0,0,0,0,0
059C1,WO,0,0,0,0,0,0,0,0,0
059C2,WO,0,0,0,0,0,0,0,0,0
059D1,WO,0,0,0,0,0,0,0,0,0
059D2,WO,0,0,0,0,0,0,0,0,0
059D3,WO,0,0,0,0,0,0,0,0,0
059D4,WO,160,I,S,S,0,0,0,0,0
059E1,WO,160,I,S,S,0,0,0,0,0
059E2,WO,0,0,0,0,0,0,0,0,0
059F0,WO,0,0,0,0,0,0,0,0,0
