Abt,NumRows,MArt,Afl,NutzLH,NutzNH,Dring,BH,Zeitp,Schlaeg,Rueckart,FI,TA,LA,KI,BU,EI,AH,ES,ER
525A1,2,RM,1,400,20,2,3,3,1,35,0,0,0,0,8,0,2,0,0
525A2,3,DF,12,110,0,1,1,3,4,35,0,0,0,0,10,0,0,0,0
525A3,2,DE,1,50,10,1,1,3,4,35,0,0,6,0,3,0,1,0,0
525A4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
